Genre,Name,Author,Lvl.nov,Lvl.adv,Lvl.exh,Lvl.inf/grv/hvn/vid/xcd/mxm
"FLOOR","恋獄対刃","あるふぁ＋凜々",4,11,14,17
"FLOOR","Innocent Azure","kuro",6,13,16,18
"FLOOR","月下の舞兎祭","Aoi feat. Kuroa*",5,12,15,17
"FLOOR","Souhait bleu","しーけー",6,12,16,18
"FLOOR","Now loading…","つきみぐー、×如月結愛",2,10,14,16
"FLOOR","Fun walk!!","Enterskip",5,11,15,17
"FLOOR","Verstärkt Killer","MALVA.",5,11,14,17
"FLOOR","Whip☆Drip","pan+テヅカ feat.桃雛なの",5,13,15,17
"FLOOR","ラヴ♡チャンス!!","Ponchi♪ feat.はぁち",6,13,16,18
"BEMANI","ABSOLUTE (saminun mix)","あさり(saminun)",5,12,14,17
"BEMANI","EMERALDAS (Yuta Imai Remix)","Yuta Imai",6,13,16,18
"BEMANI","#EmoCloche","#EmoCosine",6,13,15,18
"BEMANI","SHION -sublimation mix-","BlackY feat. Risa Yuzuki",5,12,15,17
"BEMANI","Scars of FAUNA(ろひ Remix)","ろひ",4,13,16,18
"동방 어레인지","トランスダンスアナーキー","暁Records",5,11,15,17
"BEMANI","ナスカの丘 (Hi-NRG Remix)","Hyuji feat. LIQU@。& TadashiYamamoto",3,10,14,16
"BEMANI","ナナホシ(lovely bubbly party mix!)","naka3",5,11,13,16
"동방 어레인지","緋色月下、狂咲ノ絶 (nayuta 2017 ver)","EastNewSound",4,11,15,18
"BEMANI","POSSESSION (Aoi Q.E.D. RMX)","Aoi",6,13,16,18
"동방 어레인지","門門しましょ","ビートまりお（COOL&CREATE）",4,10,14,17
"동방 어레인지","WARNING×WARNING×WARNING","暁Records",3,10,14,18
"FLOOR","Gimme dreamin'","BlackY feat. Risa Yuzuki",5,12,15,17
"FLOOR","孤月群雲に沈む","めと（Metomate）",4,11,14,17
"FLOOR","PSYCHO+HEROES","かめりあ",6,13,16,18
"FLOOR","Screaming!!","CielArc",5,11,14,17
"FLOOR","Your SOUL Is Mine","fZy",6,13,16,18
"FLOOR","eternite","Ryo Arue",6,13,16,18
"FLOOR","Thank you for your playing music","かぼちゃ feat. miko",6,13,16,18
"FLOOR","Defining Future","！すでのな",6,13,16,18
"FLOOR","Non RolicK!!大冒険","Croire",5,12,15,17
"FLOOR","who I am","カエルとネコ",4,10,14,17
"FLOOR","le coeur patissiere","U-ske feat.Ri9",5,11,14,17
"FLOOR","€omet popcorn","pan",6,13,16,18
"FLOOR","Devastated Territory","ryhki",5,12,15,17
"FLOOR","Hurt me plenty","Noah",6,13,16,18
"SDVX 오리지널","apo:llioth","Juggernaut.",6,13,16,18
"SDVX 오리지널","With It This Heaven?","technoplanet",6,13,16,18
"SDVX 오리지널","Calamity Tempest","Diceros Bicornis",7,14,17,19
"SDVX 오리지널","Daisycutter","ETIA.",7,14,17,19
"SDVX 오리지널","飄える翼追い掛けて","かめりあ feat. かめりあ",7,14,17,19
"SDVX 오리지널","MAYHEM","RoughSketch x CANVAS feat. Quimär",8,15,18,20
"SDVX 오리지널","ΛΛemoria","MisoilePunch♪",7,14,17,19
"FLOOR","Valkyrja ~Aldrlag~","ℱsinfonia (Yu_Asahina 溝口ゆうま かなたん 大瀬良あい)",6,12,15,18
"FLOOR","おどりましょうよ！ドラゴンさん ～転生したらゲーム曲でした～","諸星なな feat.加藤はるか＆廣瀬祐輝",4,11,14,17
"FLOOR","Φnd:you","かゆき",6,13,16,18
"FLOOR","Blessing Bouquet","setu-O",6,13,16,18
"FLOOR","Me:Tear","タケノコ少年 feat. 荒巻",5,12,15,17
"FLOOR","MICHIZURE","708/残響P",4,11,14,17
"FLOOR","Innocent","Alkome",6,13,16,18
"FLOOR","Ethereal Lotus","wa. + 杠葉えりか",6,13,15,18
"BEMANI","cloche(といぼっくすうぃんぐ　みっくす)","coTatsu",4,11,14,17
"FLOOR","SLEEPWALKER","monoq+RIZARDI",6,13,15,18
"FLOOR","濁色踊るオートマタ","めと（Metomate）",5,11,14,17
"FLOOR","トーキョーサマーナイト","みーに",4,10,14,16
"FLOOR","floating girl","あるふぁ feat. とおる",3,10,13,16
"BEMANI","Blue Forest (Prog Keys Remix)","とろまる",5,12,14,17
"FLOOR","Hexennacht","rider",5,12,15,17
"FLOOR","Holy Legacy","すのうまん",5,11,14,17
"FLOOR","星の詩","しーけー feat.arinco",4,10,14,17
"FLOOR","Lazurite","sazanami",6,12,15,18
"FLOOR","Ring！Run！Nyan!!","MisomyL",6,13,16,18
"BEMANI","狂水一華","BEMANI Sound Team "HuΣeR Vs. SYUNN" feat.いちか",6,13,16,18
"FLOOR","VVelcome!!","MisoilePunch♪",7,15,18,20
"FLOOR","†:OLPHEUX:†","Juggernaut.",7,14,17,19
"FLOOR","GEMINI LA2ER","ミカルコスモ(せらみかる×cosMo＠暴走P)",6,13,16,18
"FLOOR","春告胡蝶","BlackY feat. Risa Yuzuki",6,13,16,18
"FLOOR","ミュージックプレイヤー","Retropolitaliens(Ms.+駄々子)",6,12,15,18
"FLOOR","LubedeR","C-Show",7,14,17,19
"FLOOR","Redshift 2nd Ignition","technoplanet",7,14,17,19
"FLOOR","Яe:son D'être","SCHOOL CASTE(石見＆とおる)",6,12,15,18
"BEMANI","memento mori -intro-","あさき",6,12,16,18
"FLOOR","iberis","gaburyu feat. Frosch",3,9,13,16
"FLOOR","Electric Injury","siqlo",6,13,16,18
"FLOOR","月々紅花","7mai",6,13,15,18
"FLOOR","恋するレインガール","MasKaleido feat. ぁゅ",4,11,14,16
"FLOOR","Sparkling Laser Beam","you",5,12,14,17
"FLOOR","遷","隣の庭は青い(庭師+Aoi)",5,12,14,17
"BEMANI","DEEP PSYCHEDELIC STRIKER","影虎。",5,11,14,17
"BEMANI","POSSESSION(Gowrock Remix)","Gowrock",5,12,15,17
"BEMANI","Re：Elemental Creation","uma meets モリモリあつし",6,13,16,18
"BEMANI","Our Love","lapix",6,13,16,18
"BEMANI","EGOISM -Rebuild-","HAMA topground",5,10,14,17
"BEMANI","Mynarco(Nagomu 2Step Remix)","Akizuki Nagomu feat. fu-ko",6,13,16,18
"BEMANI","焦がれ唄","ちきんぐ feat.TEA",4,10,13,16
"BEMANI","Still Lonesome","PSYQUI",5,11,14,17
"BEMANI","Bioslaves","mazuka153",5,12,14,17
"BEMANI","Bolérrot","かねこちはる",6,12,15,18
"BEMANI","MeteorA","Verseus",6,13,16,18
"FLOOR","Ichi-Go! DX Pancake!","梅干茶漬け",6,12,15,18
"FLOOR","おはようからおやすみまでかまってポメポメ","立秋 feat.ちょこ",6,13,16,18
"FLOOR","Dooooope","RiMo",3,10,13,16
"FLOOR","DO-IT-AMA-SITE!!!","MYUKKE.",5,12,14,17
"FLOOR","Flaa Behavior","borzy",4,11,13,16
"FLOOR","floorkiller","テヅカ",5,11,14,17
"FLOOR","Over The Top","Ashrount",6,14,16,18
"FLOOR","トマヨイ","Spacelectro feat.椎木レク",6,13,15,18
"FLOOR","Historia of Velnoti","KV.S&はらたま",5,12,15,17
"FLOOR","夢見草奇譚","Paradise Eve feat.しゃみお",5,11,14,17
"FLOOR","World of Iris","polysha",6,13,16,18
"FLOOR","色を喪った街","かめりあ feat. かめりあ",7,14,17,19
"FLOOR","Katharsis","u-z feat.CHERICa",6,13,16,18
"FLOOR","SAMURAI TIGER","ぽんきち&ゆんゆん",6,13,16,18
"FLOOR","666","RoughSketch",8,15,18,20
"FLOOR","ZEИITH","Ashrount vs polysha",6,13,16,18
"FLOOR","9TH5IN","ETIA.",7,14,17,19
"FLOOR","ЯeviveR","Diceros Bicornis",7,14,17,19
"BEMANI","Impress (bansou Remix)","bansou",5,12,14,17
"BEMANI","Elemental Creation (kamome sano Remix)","kamome sano",6,13,16,18
"SDVX 오리지널","VIVIDWAVERS","SDVX SOUND UNION",5,12,15,17
"ひなビタ♪/バンめし♪","ハレ トキドキ メランコリック","ここなつ",3,8,14,17
"ひなビタ♪/バンめし♪","Finally Dive -kors k Remix-","ここなつ",4,11,14,16
"BEMANI","ABSOLUTE (EUROBEAT REMIX)","Tracy vs. Yu_Asahina",5,11,14,17
"BEMANI","Valanga(polysha Remix)","polysha",6,13,16,18
"BEMANI","SHION (ロースピード幻想チューン Remix)","HOUJIROU feat. 駄々子",3,9,13,16
"FLOOR","Vividly Impromptu","BlackY",6,13,16,18
"FLOOR","祭囃子","709sec. feat.Yui Chinen",5,11,14,17
"BEMANI","ランカーキラーガール","中島由貴 × いちか",5,12,15,18
"FLOOR","Call of the World","お月さま交響曲",6,13,16,18
"FLOOR","Turn the story","technoplanet feat. Kuroto Sion",6,13,16,18
"FLOOR","Jacob’s Elevator","まろん (IOSYS)",6,12,15,18
"FLOOR","ЯegreT of MemoRy","からとP vs タケノコ少年",6,12,15,17
"SDVX 오리지널","OUTERHEΛVEN","Juggernaut.",7,14,17,19
"SDVX 오리지널","* Erm, could it be a Spatiotemporal ShockWAVE Syndrome...?","かめりあ",8,15,18,20
"SDVX 오리지널","θコトノハθカプセルθ","cosMo＠暴走P",7,14,17,19
"SDVX 오리지널","Teufel","Hommarju",6,13,16,18
"SDVX 오리지널","Butterfly Twist","Yooh",6,12,15,18
"SDVX 오리지널","Pulsar","はがね",6,12,15,18
"SDVX 오리지널","pique","星野音楽工房",6,13,16,18
"FLOOR","ultra turbo","kamome sano",4,11,14,17
"FLOOR","近未来百鬼夜行譚～死返之巻～","近未来妖怪活劇をかぼちゃが謡う！　いざ！",5,12,14,17
"FLOOR","PARTY TIME!","RoughSketch & Hommarju",6,13,16,18
"FLOOR","D1g1t1ze b0dy","シルクパラソル（yoa＆かゆき） feat. まめこ",5,10,14,17
"FLOOR","Pixelated Platform","pan",4,10,14,17
"BEMANI","Afterimage d'automne","BEMANI Sound Team "猫叉劇団"",6,13,15,17
"BEMANI","おーまい！らぶりー！すうぃーてぃ！だーりん！","BEMANI Sound Team "PON" feat.NU-KO",4,11,14,17
"BEMANI","最小三倍完全数","DJ TECHNORCH",6,13,16,18
"BEMANI","Six String Proof","BEMANI Sound Team "Yvya × Mutsuhiko Izumi"",5,12,14,17
"BEMANI","toy boxer","BEMANI Sound Team "S-C-U & SYUNN"",5,12,15,17
"BEMANI","Trill auf G","BEMANI Sound Team "dj TAKA"",6,14,17,19
"BEMANI","BLACK JACKAL","Akira Complex",5,11,14,17
"BEMANI","voltississimo","BEMANI Sound Team "PHQUASE"",7,14,17,19
"BEMANI","ミッドナイト☆WAR","いちか",6,12,16,18
"SDVX 오리지널","ΣgØ","かぼちゃ",8,15,18,20
"SDVX 오리지널","ΩVERFLOW","BlackY",6,13,16,18
"SDVX 오리지널","Ghost Family Living In Graveyard","RoughSketch",7,14,17,19
"SDVX 오리지널","Sudden Visitor","黒魔",6,12,15,18
"SDVX 오리지널","petits fours","kamome sano",6,12,15,18
"SDVX 오리지널","星の透る夏空に願う","Yu-dachi",6,13,16,18
"SDVX 오리지널","Lancelot ～Flame of the Rebellion～","ぺのれり",7,14,17,19
"SDVX 오리지널","Aerial Fortress","xi",6,13,16,18
"SDVX 오리지널","Dogeza Stairs","ビートまりお（COOL&CREATE）",6,13,16,18
"SDVX 오리지널","LECTORIA","Cranky",6,13,16,18
"FLOOR","eighth-slave","Yu_Asahina",6,13,16,18
"FLOOR","Cynical Joker","brz1128",6,12,15,18
"FLOOR","PIZZATIME","Tsubusare BOZZ",6,12,15,17
"FLOOR","Mischievous theater","黒魔",5,12,14,17
"SDVX 오리지널","mqlo","C-Show",6,13,16,18
"SDVX 오리지널","OZONE","BEMANI Sound Team "Sota Fujimori"",6,12,15,18
"FLOOR","エンゲージ〆ント","Croire",6,12,15,17
"FLOOR","CLOUDS FLYER -sdvx edit-","ginkiha",4,11,14,17
"FLOOR","偶然？ 必然？ アンビバレンス！","諸星なな feat.加藤はるか&YKI",4,10,13,16
"FLOOR","Sunflower Vibes","Dustvoxx",5,12,15,17
"FLOOR","V Sen5eS","MasKaleido VS 709sec.",6,13,15,18
"FLOOR","empty","Λerdammt",5,11,14,17
"FLOOR","JǛPITΨR ♃ GЯÃVITÝ","YumAeL ex. 溝口ゆうま",5,13,16,18
"FLOOR","FIRST：DREAMS","uma vs. モリモリあつし",6,13,16,18
"SDVX 오리지널","Believe In Yourself","kors k",6,13,16,18
"FLOOR","アライヴ","あらいぐまファクトリー feat. okogeeechann",4,11,14,16
"FLOOR","Into The Madness","Yuta Imai",5,12,14,17
"FLOOR","Circulator","Reaper",5,12,15,17
"FLOOR","To:BrandNewDeadline","せいぎのあおぢる",6,13,16,18
"동방 어레인지","悪戯センセーション","森羅万象",6,12,14,17
"동방 어레인지","ΩBIRD","SOUND HOLIC feat. Nana Takahashi",6,12,15,17
"동방 어레인지","Get over!!","猫大樹",3,10,13,16
"동방 어레인지","Sweetest Paranoia","Amateras Records feat.築山さえ×抹(魂音泉)",4,10,14,16
"동방 어레인지","諏訪大信仰","ビートまりお＋あまね（COOL&CREATE）",6,12,15,18
"동방 어레인지","DESIRE","溝口ゆうま feat. 大瀬良あい",6,11,14,17
"동방 어레인지","Little Big Princess(DJ katsu EDIT)","DiGiTAL WiNG with 空音",4,9,13,16
"SDVX 오리지널","タイムトラベル","モリモリあつし",6,12,16,18
"FLOOR","Atropa bella-donna","HOUJIROU",6,13,16,18
"FLOOR","Adrenaline Rush","siqlo",5,11,14,17
"FLOOR","clear:wings","かゆき",5,11,14,17
"FLOOR","Xicholauncher","隣の庭は青い(庭師+Aoi)",6,12,15,18
"FLOOR","THE凸GENERATOR","cosMo＠暴走P",7,14,17,19
"FLOOR","シープドリーミン","テヅカ feat. 大西あみみ",5,10,14,17
"FLOOR","Chocolate Parade","Freezer feat.妃苺",6,12,15,17
"FLOOR","ツマミ戦隊 タテレンジャー","ツマミ戦隊 タテレンジャー",6,12,15,18
"FLOOR","Tribal Trial","Yooh",5,10,14,17
"FLOOR","Barbatos","Crawk × Capchii",6,13,16,18
"BEMANI","50th Memorial Songs -The BEMANI History-","BEMANI Sound Team",5,12,14,17
"BEMANI","50th Memorial Songs -二人の時 ～under the cherry blossoms～-","BEMANI Sound Team",4,11,14,16
"BEMANI","50th Memorial Songs -Flagship medley-","BEMANI Sound Team",4,11,14,16
"FLOOR","アオアラシ","やどりぎ",6,13,15,18
"FLOOR","Enchanté","winddrums",6,13,15,18
"FLOOR","Bye or not","PSYQUI feat. mikanzil",5,11,14,17
"FLOOR","VIVID DEBUT!","#EmoCosine",5,11,14,17
"FLOOR","港町レディ","フーリンキャットマーク",4,10,13,16
"SDVX 오리지널","ねこみみ(=ФωФ=)ぱんでみみっく","ねこみりん feat.小宮真央",6,13,16,18
"FLOOR","Enigma II","とろまる",5,12,15,17
"FLOOR","Aurolla","MisoilePunch♪",6,13,16,18
"FLOOR","Glorious Journey","古屋直雪",6,13,16,18
"FLOOR","Sacrifice Escape: 不条理の模倣による感情と代償","memex",5,11,14,17
"FLOOR","翠雨の祷","Cororo feat.Yuria Miyazono",6,13,16,18
"FLOOR","SociuS","Ellim Gnirps vs よみぃ",6,12,15,18
"BEMANI","50th Memorial Songs -Beginning Story-","BEMANI Sound Team",4,9,13,16
"ひなビタ♪/バンめし♪","革命パッショネイト","日向美ビタースイーツ♪",5,12,15,17
"FLOOR","Sharkbait","ryhki",5,12,15,17
"ひなビタ♪/バンめし♪","スイーツはとまらない♪","日向美ビタースイーツ♪",4,11,14,16
"SDVX 오리지널","TENKAICHI ULTIMATE BOSSRUSH MEDLEY","TENKAICHI LEGENDS",7,14,17,19
"ひなビタ♪/バンめし♪","熱情のサパデアード","日向美ビタースイーツ♪",6,12,14,17
"FLOOR","Hi-Fi!!双子'S","technoplanet feat. ＯＲＩ姫 & やみん",5,10,14,16
"FLOOR","120秒のエンドロール","colorless（からとP feat.脱線ぐーぅ）",5,11,14,17
"ひなビタ♪/バンめし♪","ヒカリユリイカ","ここなつ",3,10,13,16
"FLOOR","び","立秋 feat.ちょこ",6,13,16,18
"ひなビタ♪/バンめし♪","ベビーステップ","ここなつ",5,11,14,17
"FLOOR","無魎大数","cosMo＠暴走P",6,12,15,18
"SDVX 오리지널","Typhoon Craaash!!","A-One",6,13,15,18
"동방 어레인지","Addicted Moon","Amateras Records feat.築山さえ",4,10,13,16
"동방 어레인지","ARROW RAIN feat. ayame","Alstroemeria Records",6,13,16,18
"SDVX 오리지널","伊邪那美白山姫大神","Morrigan feat. リリィ",5,12,15,17
"SDVX 오리지널","vivid landscape","paraoka",6,12,15,17
"SDVX 오리지널","On take SUN","Sampling Masters MEGA",6,13,16,18
"동방 어레인지","Colorless feat.ももかみ","Spacelectro",5,12,14,17
"SDVX 오리지널","君は Fantasista","杉下 トキヤ",6,12,15,17
"동방 어레인지","クレイジークレイジーダンサーズ","ビートまりお＋あまね（COOL&CREATE）",6,12,15,17
"SDVX 오리지널","scary night","岸田教団＆THE明星ロケッツ",6,11,14,17
"동방 어레인지","全力ハッピーライフ","森羅万象",5,11,14,17
"동방 어레인지","Together Going My Way","DiGiTAL WiNG with 空音",4,10,13,16
"동방 어레인지","抜刀","猫大樹",4,11,14,16
"SDVX 오리지널","bistro twins☆☆☆","OSTER project feat. かなたん",6,11,14,17
"SDVX 오리지널","Believe (y)our Wings {V:IVID RAYS}","RASIS COLORS（かめりあ ft. 紫崎 雪、ぁゅ、かぼちゃ、Kuroa*、SOPHY、みかん汁、みゅい）",5,11,14,17
"SDVX 오리지널","Believe (y)our Wings {GRA5P WAVES}","GRACE COLORS（かめりあ ft. 紫崎 雪、藍月なくる、荒巻、ＯＲＩ姫、かなたん、駄々子、はるの、ななひら）",5,11,14,17
"SDVX 오리지널","BLIZZARD BEAT","SOUND HOLIC feat. Nana Takahashi",5,11,15,17
"동방 어레인지","Princess Lily","溝口ゆうま feat. 大瀬良あい",5,11,15,17
"SDVX 오리지널","真夏の海の修道女","bermei.inazawa",4,10,14,17
"동방 어레인지","真夏の蜜と唇 fm. 希望の星は青霄に昇る","ARM (IOSYS) ft. yukina (TUMENECO)",5,12,15,17
"동방 어레인지","迷夢ソウル","夕月椿(EastNewSound)",5,10,13,16
"동방 어레인지","零次元エクスプレス","SOUND HOLIC feat. Nana Takahashi",5,11,14,17
"SDVX 오리지널","lEyl","t+pazolite feat. incl*incr",6,13,16,18
"BEMANI","V","TAKA",5,12,15,18
"FLOOR","ULTRAVELOCITY","はがね",5,12,15,18
"FLOOR","ΣmbryØ","かぼちゃ",8,15,18,20
"FLOOR","Cross Fire","Hommarju vs RoughSketch",7,14,17,19
"FLOOR","GODHEART","BlackY",7,14,17,19
"FLOOR","THE HEAVEN","Juggernaut.",5,12,15,18
"FLOOR","祝福の色彩は想い結ぶ君たち迄","Yu-dachi",6,13,16,18
"FLOOR","Destiny","Yooh",6,13,16,18
"FLOOR","*Feels Seasickness...*","かめりあ",8,15,18,20
"SDVX 오리지널","Liar rain","しーけー",6,12,15,18
"SDVX 오리지널","rE:Voltagers","Tanchiky",6,13,16,18
"BEMANI","MODEL FT4","BEMANI Sound Team "Mutsuhiko Izumi"",6,13,16,18
"BEMANI","Yum Yum Sweetie","t+pazolite",6,13,15,18
"SDVX 오리지널","Barbless Ego","MAD CHILD",6,13,15,18
"BEMANI","Catch Our Fire!","中島由貴",5,11,15,18
"FLOOR","Divine's or Deal","winddrums vs cosMo",6,13,16,18
"FLOOR","ファイナルレター","かねこちはる",6,12,16,18
"FLOOR","ブチ上げ候！現代忍者三姉妹","溝口ゆうま feat. みこ♡なち♡あい",5,12,14,17
"FLOOR","Musha Vibration","NA7",6,12,15,17
"BEMANI","Sulk","SYUNN",5,11,14,17
"BEMANI","†渚の小悪魔ラヴリィ～レイディオ†","夏色ビキニのPrim",6,13,15,18
"BEMANI","Midnight City Warfare","sky_delta",6,13,16,18
"SDVX 오리지널","Cloud Crasher","Hommarju",6,13,16,18
"SDVX 오리지널","逆月","BEMANI Sound Team "HuΣeR" feat.Fernweh",7,14,17,19
"BEMANI","Elemental Creation","dj TAKA meets DJ YOSHITAKA",7,14,17,19
"BEMANI","お米の美味しい炊き方、そしてお米を食べることによるその効果。","大日本鉄倶楽部【あさき＆９６】",6,11,15,18
"BEMANI","GAIA","猫叉L.E.D.Master+",6,12,15,18
"BEMANI","STULTI","MAX MAXIMIZER VS DJ TOTTO",6,13,16,18
"BEMANI","晴天Bon Voyage","TOMOSUKE × seiya-murai feat. ALT",4,10,13,16
"BEMANI","創世ノート","PON+wac",6,12,15,17
"BEMANI","虹色の花","Akhuta y OJ",5,10,13,16
"SDVX 오리지널","ALTONA","SOUND HOLIC Vs. SWING HOLIC",6,12,15,18
"동방 어레인지","Invisible Bullets","brz1128",5,12,15,17
"동방 어레인지","Venomous Firefly","かめりあ",6,13,16,18
"동방 어레인지","Tic Exe","Se-U-Ra",5,11,14,17
"동방 어레인지","Night Rockin' Bird","kanone",5,12,14,18
"동방 어레인지","Nostalgic Blood of the Strife","Laur",6,13,16,18
"동방 어레인지","Princess K","Retropolitaliens(Ms.+駄々子)",4,10,13,16
"FLOOR","Akzeriyyuth","Team&Dj Grimoire",6,13,15,18
"FLOOR","Coldlapse","Aoi vs. r0y",5,12,15,17
"FLOOR","No way","影虎。",5,11,14,17
"FLOOR","Beyond the BLUE","Ayato × sak × 田島千種",6,13,16,18
"SDVX 오리지널","真っ白な靴","豚乙女",6,13,16,18
"동방 어레인지","4NT1 D34D","N-Driver",4,9,13,16
"동방 어레인지","Breakin' Asia","かたぎり",6,13,16,18
"동방 어레인지","蓬莱フェスティボー","溝口ゆうま feat. みこ♡なち♡あい",5,11,15,17
"동방 어레인지","Lunatic Sprinter","さわわ",6,12,15,18
"BEMANI","SUPER SUMMER SALE","BEMANI Sound Team "U1 overground"",5,11,15,18
"BEMANI","星座が恋した瞬間を。","BEMANI Sound Team "DJ TOTTO feat.MarL"",5,11,14,17
"BEMANI","Puberty Dysthymia","BEMANI Sound Team "person09"",6,12,15,18
"BEMANI","風鈴花火","BEMANI Sound Team "劇団レコード"feat.結良まり",4,10,13,16
"BEMANI","Prey","BEMANI Sound Team "Dustup"",6,13,16,18
"BEMANI","Life is beautiful","BEMANI Sound Team "猫叉Master"",6,11,14,17
"BEMANI","Rejoin","BEMANI Sound Team "HuΣeR feat.PON"",5,11,14,17
"동방 어레인지","灼熱のBlazin' Beat","CielArc",4,10,13,16
"동방 어레인지","Burning Spark!","uma & nmk feat. 橘花音",5,11,13,16
"동방 어레인지","Black night","Noah",6,13,15,18
"동방 어레인지","Liévre -blanche-","Diartzh",5,12,14,17
"SDVX 오리지널","Another Chapter","からとP feat.リた☆",5,11,14,17
"SDVX 오리지널","Absolute Domination","Laur",7,14,17,19
"SDVX 오리지널","オニユリ","ぺのれり",6,13,16,18
"SDVX 오리지널","Xronièr","かめりあ as "fluX Xroisé"",7,15,18,20
"SDVX 오리지널","コメット⇒スケイター","U-ske feat.棗いつき",5,11,14,17
"SDVX 오리지널","サイコパスラビット","うさぎ愛好会PSYCHOPATH(cosMo×syuri22)",6,13,16,18
"SDVX 오리지널","水簾ノ調","Capchii × Crawk",6,12,15,18
"SDVX 오리지널","スラッシュ//シスターズ","はるなば with すずしろ&桃箱",6,12,15,18
"SDVX 오리지널","そして黄金郷へ","TAKU1175 × かにまゆ",6,12,15,18
"SDVX 오리지널","光射す澪のユズリハ","Cororo feat.Yuria Miyazono",6,13,16,18
"SDVX 오리지널","Failnaught","xi",7,14,17,19
"SDVX 오리지널","Fly Like You","technoplanet",7,14,17,19
"SDVX 오리지널","Made In Love","黒魔",4,10,13,17
"SDVX 오리지널","REDO the NIGHT","岸田教団＆THE明星ロケッツ",6,12,15,18
"FLOOR","Dark Matter","Yooh",5,11,14,17
"FLOOR","ひとりぼっちの魔王","Verdammt",3,9,13,16
"FLOOR","ホワイトパレード","梅干茶漬け",6,13,16,18
"FLOOR","Justitia Gladius","kanone",6,12,15,17
"FLOOR","Levier'n NābYss","MisoilePunch♪ ~Take No Complete~",6,13,16,18
"동방 어레인지","Invisible Full Moon 古屋直雪 remix","古屋直雪",4,10,13,16
"동방 어레인지","Victim of Nights","すのうまん",6,12,15,18
"동방 어레인지","少女綺想曲 -G.X.N. Remix-","激戦の人",5,12,14,17
"동방 어레인지","Mysterious Nights","あさり",4,9,13,16
"FLOOR","BLAZING_LAZER","brz1128",6,12,16,18
"FLOOR","Melty Sweets","Ironami",5,11,14,17
"SDVX 오리지널","She Turns Me On","BEMANI Sound Team "Sota Fujimori"",6,13,15,18
"동방 어레인지","KIMIDORI Streak!!","梅干茶漬け",6,12,15,18
"FLOOR","Gate of Atlantis","MasKaleido",6,13,15,18
"동방 어레인지","Secret Traveler -MeniRemix-","Adust Rain",5,10,14,17
"FLOOR","Knights Assault","零 -zero-",6,12,14,17
"동방 어레인지","プレインエイジア(MRM REMIX)","モリモリあつし",6,12,14,17
"FLOOR","MeteorGlow Aftermath","pan",6,13,16,18
"BEMANI","ECHIDNA","HuΣeR",6,12,15,18
"BEMANI","Chrono Diver -PENDULUMs-","猫叉L.E.D.Master+",7,14,17,19
"동방 어레인지","ILL-STARRED Diver","polysha",5,11,13,17
"동방 어레인지","煙","庭師",5,12,14,17
"FLOOR","SUPER BUBBLE JOURNEY","こふ",5,11,14,17
"BEMANI","Touch My Body","anubasu-anubasu",5,12,15,18
"동방 어레인지","誰が為に兎は舞う＝狂速狂騒曲＝","うさぎ愛好会(cosMo×syuri22)",6,13,16,18
"FLOOR","Blue Stream","とろまる",5,12,14,17
"BEMANI","片翼のディザイア","Endorfin.",5,12,15,17
"FLOOR","LastΩmegA","BlackY",6,13,16,18
"BEMANI","La Danza del Fuego","Kiryu",4,11,14,16
"BEMANI","Redshift","technoplanet",6,13,16,18
"SDVX 오리지널","PROVOES*PROPOSE <<êl fine>>","Yu_Asahina as "papyrus"",6,13,16,18
"동방 어레인지","アワデコノヨヲ","AMAZE",5,12,15,17
"FLOOR","Iridescent Clouds","Hidra-Xjeil",6,11,14,17
"FLOOR","SAtAN","P*Light",6,13,16,18
"동방 어레인지","disordered asia","シイナフユキ",4,10,13,16
"FLOOR","Divine's:Bugscript","かゆき",6,13,15,18
"동방 어레인지","Two of Us","Sound CYCLONE",4,8,12,16
"동방 어레인지","Dreaming feat. nomico","Alstroemeria Records",4,10,13,17
"동방 어레인지","私の恋色。","テヅカ feat. 大西あみみ",5,11,13,16
"SDVX 오리지널","Arcade Prison","MAD CHILD vs. siromaru",5,11,14,17
"BEMANI","Evans","DJ YOSHITAKA",6,13,15,18
"BEMANI","RHYZING BEAT","PHQUASE",5,12,15,18
"SDVX 오리지널","まじかる生主＠りすなちゃん","DJ SHARPNEL feat. みらい",6,12,15,18
"SDVX 오리지널","業焔繚乱","BlackY",6,12,15,18
"BEMANI","Sky High","Cuvelia",6,13,15,18
"SDVX 오리지널","スピーカーガール！","TAKU1175 feat.かなたん",5,10,13,16
"BEMANI","CHERNOBOG","漆黒のEBONY",6,13,16,18
"BEMANI","Phlox","Sota Fujimori 2nd Season",5,12,14,17
"SDVX 오리지널","BELOBOG","BEMANI Sound Team "純白のIVORY"",7,14,17,19
"BEMANI","蟲の棲む処","かめりあ feat. Nana Takahashi",6,12,15,17
"SDVX 오리지널","Royal Judgement","Kobaryo",6,11,14,17
"BEMANI","惑星☆ロリポップ","SOUND HOLIC feat. Nana Takahashi",5,11,13,16
"SDVX 오리지널","Reb∞t","BEMANI Sound Team "TAG"",6,13,16,18
"FLOOR","Awakening","technoplanet",7,14,17,19
"FLOOR","Wings of Glory","Crawk × Capchii",6,12,15,18
"FLOOR","crossing blue","ぺのれり",6,13,16,18
"FLOOR","Xéroa","かめりあ",7,14,17,19
"FLOOR","BlueMoon Princess","うさぎ愛好会(cosMo×syuri22)",6,13,16,18
